,,,,"Optiplex Gx1",24756,,,,"CR. Puerto Barrios",,,"FECHA",
,,"DELL","DELL","Optiplex Gx 260",8537021,,,,"Facultad de Odontologia",,,,
,,"DELL","DELL","Dimension V400","0AYJL",,,,"Facultad de Ing. Industrial",,,,
571473750,05/08/2001,"Dell","DELL","Optiplex Gx 150","1077L01","PIII 1.0GHz","128Mb","20Gb","Auditoria","Anayansi Mazariegos",,,
867320046,01/07/2002,"DELL","DELL","Precision 340","10K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,10/02/2005,
623735611,28/01/2004,"DELL","DELL","Precision 360","10W0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
867323933,01/07/2002,"DELL","DELL","Precision 340","11L3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","11Y1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
867323933,01/07/2002,"DELL","DELL","Precision 340","12L3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
497512492,13/10/2003,"DELL","DELL","Precision 360","159YM31","P4 2.4GHz","1G Mb","40 Gb","Medicina",,,,
867311284,01/07/2002,"DELL","DELL","Precision 340","15FZL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
502104789,"01/24/2001","DELL","DELL","Optiplex Gx 150","17WWB01","PIII 933GHz","128Mb","20Gb","Contabilidad",,,,
497512492,13/10/2003,"DELL","DELL","Precision 360","17XXM31","P4 2.4GHz","1G Mb","40 Gb","Facultad de Ing. Industrial",,,,
867321374,01/07/2002,"DELL","DELL","Precision 340","19K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
"B83797420",29/10/2004,"Dell","DELL","Poweredge 6600","1B71Y51","P4 2.7GHz","8Gb","73Gb  * 4","Desarrollo","Terminal Services",,,
867321374,01/07/2002,"DELL","DELL","Precision 340","1BK3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","1BWWB01","PIII 933GHz","128Mb","20Gb","CR. Jutiapa",,,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","1CWWB01","PIII 933GHz","128Mb","20Gb","CR. Totonicapan",,,,
